title,year,runtime,certificate,rating,metascore,votes,gross
Ugetsu,1953,96,Not Rated,8.2,,24799,0.01
Uri: The Surgical Strike,2019,138,Not Rated,8.2,,68565,4.19
Umberto D.,1952,89,Not Rated,8.2,92.0,27113,0.07
Rangasthalam 1985,2018,170,Not Rated,8.2,,26446,3.51
Late Spring,1949,108,Not Rated,8.2,93.0,18221,
Vikram Vedha,2017,147,Not Rated,8.2,,48388,
I Am Cuba,1964,141,Not Rated,8.2,,10148,
Life and a Day,2016,112,,8.2,,16635,
Bhaag Milkha Bhaag,2013,186,Not Rated,8.2,,70304,1.63
The Mountain II,2016,135,,8.2,,109410,
I Am a Fugitive from a Chain Gang,1932,92,Passed,8.2,,14011,1.42
Ballad of a Soldier,1959,88,Not Rated,8.2,,10968,
Vaaranam Aayiram,2008,169,Not Rated,8.2,,13736,
Paan Singh Tomar,2012,135,Not Rated,8.2,,37230,0.04
Jigarthanda,2014,171,Not Rated,8.2,,12490,
Ustad Hotel,2012,151,,8.2,,15392,
Shahid,2012,129,Not Rated,8.2,,17009,
Dhuruvangal Pathinaaru,2016,105,Not Rated,8.2,,16368,
Champion,2018,130,,8.2,,12753,
Ivan Vasilyevich Changes His Profession,1973,88,TV-G,8.2,,17657,
Jo Jeeta Wohi Sikandar,1992,174,Not Rated,8.2,,23856,
Theeran Adhigaram Ondru,2017,157,Not Rated,8.2,,15961,
RangiTaranga,2015,149,Not Rated,8.2,,14699,
Pocket Hercules: Naim Süleymanoglu,2019,141,,8.2,,13172,
Athadu,2005,172,Not Rated,8.2,,14120,
Jaws,1975,124,PG,8.1,87.0,634480,260.00
The Exorcist,1973,122,R,8.1,81.0,427048,232.91
Prisoners,2013,153,R,8.1,70.0,761714,61.00
Gone Girl,2014,149,R,8.1,79.0,1021430,167.77
Mad Max: Fury Road,2015,120,R,8.1,90.0,1041604,154.06
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,PG-13,8.1,63.0,1166804,305.41
The Grand Budapest Hotel,2014,99,R,8.1,88.0,851369,59.10
The Terminator,1984,107,R,8.1,84.0,894989,38.40
Stand by Me,1986,89,R,8.1,75.0,422669,52.29
